Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
60,0.0,0.0,10,0.5,0.002831119823533094
60,0.0,0.01,10,0.5,0.016140253637630067
60,0.0,0.02,10,0.5,0.021021553522584554
60,0.0,0.03,10,0.5,0.025728344872135375
60,0.0,0.04,10,0.5,0.028792838733089212
60,0.0,0.05,10,0.5,0.040729274090743714
60,0.0,0.06,10,0.5,0.042301361623467565
60,0.0,0.07,10,0.5,0.052296415961722895
60,0.0,0.08,10,0.5,0.05767561553636786
60,0.0,0.09,10,0.5,0.06426244400648279
60,0.0,0.1,10,0.5,0.07292201150920405
60,0.05,0.0,10,0.5,0.47635557740998186
60,0.05,0.01,10,0.5,0.6853079006946726
60,0.05,0.02,10,0.5,0.6937350000383836
60,0.05,0.03,10,0.5,0.6958388641770236
60,0.05,0.04,10,0.5,0.724533453741707
60,0.05,0.05,10,0.5,0.7465493566659143
60,0.05,0.06,10,0.5,0.7773380112852951
60,0.05,0.07,10,0.5,0.7561817363952277
60,0.05,0.08,10,0.5,0.8222579170219262
60,0.05,0.09,10,0.5,0.781484872831761
60,0.05,0.1,10,0.5,0.8261847469986763
60,0.1,0.0,10,0.5,0.48249065782043954
60,0.1,0.01,10,0.5,0.7186277649232962
60,0.1,0.02,10,0.5,0.7407478317714813
60,0.1,0.03,10,0.5,0.7974017046622787
60,0.1,0.04,10,0.5,0.8051986786984731
60,0.1,0.05,10,0.5,0.8315414527006787
60,0.1,0.06,10,0.5,0.8222215072853245
60,0.1,0.07,10,0.5,0.8285242724652296
60,0.1,0.08,10,0.5,0.8446155227548634
60,0.1,0.09,10,0.5,0.8261740458900704
60,0.1,0.1,10,0.5,0.8374737622862192
60,0.15000000000000002,0.0,10,0.5,0.46105987023722056
60,0.15000000000000002,0.01,10,0.5,0.7173147821396116
60,0.15000000000000002,0.02,10,0.5,0.7858686346495648
60,0.15000000000000002,0.03,10,0.5,0.8170074646438428
60,0.15000000000000002,0.04,10,0.5,0.8326014064497376
60,0.15000000000000002,0.05,10,0.5,0.8339498082303457
60,0.15000000000000002,0.06,10,0.5,0.8376872158881971
60,0.15000000000000002,0.07,10,0.5,0.8503977229056396
60,0.15000000000000002,0.08,10,0.5,0.8675518980765256
60,0.15000000000000002,0.09,10,0.5,0.8534428617571188
60,0.15000000000000002,0.1,10,0.5,0.8335289665627953
60,0.2,0.0,10,0.5,0.4413861762289715
60,0.2,0.01,10,0.5,0.7374530735350503
60,0.2,0.02,10,0.5,0.8210120456297523
60,0.2,0.03,10,0.5,0.8152224228838104
60,0.2,0.04,10,0.5,0.8600956700850935
60,0.2,0.05,10,0.5,0.8611782754312507
60,0.2,0.06,10,0.5,0.8746520619107632
60,0.2,0.07,10,0.5,0.8797214168444104
60,0.2,0.08,10,0.5,0.8688005470154228
60,0.2,0.09,10,0.5,0.8529378483213027
60,0.2,0.1,10,0.5,0.8682268405444076
60,0.25,0.0,10,0.5,0.45772408310679535
60,0.25,0.01,10,0.5,0.7821024408559255
60,0.25,0.02,10,0.5,0.808405131408352
60,0.25,0.03,10,0.5,0.8443777251711834
60,0.25,0.04,10,0.5,0.8758704522947209
60,0.25,0.05,10,0.5,0.8651878299941334
60,0.25,0.06,10,0.5,0.8560562834058785
60,0.25,0.07,10,0.5,0.8675084309349442
60,0.25,0.08,10,0.5,0.8541334862901395
60,0.25,0.09,10,0.5,0.8579637125808549
60,0.25,0.1,10,0.5,0.8462736480260652
60,0.30000000000000004,0.0,10,0.5,0.4393514057198696
60,0.30000000000000004,0.01,10,0.5,0.7725732407268908
60,0.30000000000000004,0.02,10,0.5,0.840620587232589
60,0.30000000000000004,0.03,10,0.5,0.8601147246854065
60,0.30000000000000004,0.04,10,0.5,0.8674475784020294
60,0.30000000000000004,0.05,10,0.5,0.8601011660018888
60,0.30000000000000004,0.06,10,0.5,0.8541032010124371
60,0.30000000000000004,0.07,10,0.5,0.8599372777980993
60,0.30000000000000004,0.08,10,0.5,0.8626161429967896
60,0.30000000000000004,0.09,10,0.5,0.8477305912007376
60,0.30000000000000004,0.1,10,0.5,0.8229592262143173
60,0.35000000000000003,0.0,10,0.5,0.4213455046584992
60,0.35000000000000003,0.01,10,0.5,0.7745142474892798
60,0.35000000000000003,0.02,10,0.5,0.8426195130939166
60,0.35000000000000003,0.03,10,0.5,0.8613595217978026
60,0.35000000000000003,0.04,10,0.5,0.8617262094312985
60,0.35000000000000003,0.05,10,0.5,0.8662976354157947
60,0.35000000000000003,0.06,10,0.5,0.8611397135459868
60,0.35000000000000003,0.07,10,0.5,0.8411529747100052
60,0.35000000000000003,0.08,10,0.5,0.8344673208961154
60,0.35000000000000003,0.09,10,0.5,0.8556188605171144
60,0.35000000000000003,0.1,10,0.5,0.8280289866934814
60,0.4,0.0,10,0.5,0.4540976893983963
60,0.4,0.01,10,0.5,0.7987846986121027
60,0.4,0.02,10,0.5,0.8544874241899081
60,0.4,0.03,10,0.5,0.870701855396012
60,0.4,0.04,10,0.5,0.8799325754725408
60,0.4,0.05,10,0.5,0.8736122181769371
60,0.4,0.06,10,0.5,0.84323303168648
60,0.4,0.07,10,0.5,0.8527284263343705
60,0.4,0.08,10,0.5,0.8432858966316779
60,0.4,0.09,10,0.5,0.8372312436121291
60,0.4,0.1,10,0.5,0.8246525598096035
60,0.45,0.0,10,0.5,0.42936243606886526
60,0.45,0.01,10,0.5,0.8100474723796698
60,0.45,0.02,10,0.5,0.8700296118802181
60,0.45,0.03,10,0.5,0.8752762205995868
60,0.45,0.04,10,0.5,0.8793391981374705
60,0.45,0.05,10,0.5,0.8696820195013831
60,0.45,0.06,10,0.5,0.850311748252929
60,0.45,0.07,10,0.5,0.8466165390626709
60,0.45,0.08,10,0.5,0.8391603897082507
60,0.45,0.09,10,0.5,0.8420381125592984
60,0.45,0.1,10,0.5,0.7996920431296672
60,0.5,0.0,10,0.5,0.46943955134128756
60,0.5,0.01,10,0.5,0.7908775332582825
60,0.5,0.02,10,0.5,0.856986329412573
60,0.5,0.03,10,0.5,0.8694370920133555
60,0.5,0.04,10,0.5,0.8741909026165017
60,0.5,0.05,10,0.5,0.8681466863790662
