Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
60,0.0,0.0,10,0.5,0.00017167381974248928
60,0.0,0.05,10,0.5,0.040945293635331635
60,0.0,0.1,10,0.5,0.07080206240764411
60,0.0,0.15000000000000002,10,0.5,0.08906272463655338
60,0.0,0.2,10,0.5,0.11071293670638706
60,0.0,0.25,10,0.5,0.1330005237097256
60,0.0,0.30000000000000004,10,0.5,0.1351177176172793
60,0.0,0.35000000000000003,10,0.5,0.14738843879605862
60,0.0,0.4,10,0.5,0.1704594267447526
60,0.0,0.45,10,0.5,0.21835833168301835
60,0.0,0.5,10,0.5,0.2435376595041811
60,0.05,0.0,10,0.5,0.45005959640593907
60,0.05,0.05,10,0.5,0.7782792931796695
60,0.05,0.1,10,0.5,0.8219013096314127
60,0.05,0.15000000000000002,10,0.5,0.8152191197334203
60,0.05,0.2,10,0.5,0.8390394300573988
60,0.05,0.25,10,0.5,0.8575357326808856
60,0.05,0.30000000000000004,10,0.5,0.8667347662161424
60,0.05,0.35000000000000003,10,0.5,0.8701100807212359
60,0.05,0.4,10,0.5,0.8652751530284054
60,0.05,0.45,10,0.5,0.867442064896932
60,0.05,0.5,10,0.5,0.8695924372716379
60,0.1,0.0,10,0.5,0.5058585106645332
60,0.1,0.05,10,0.5,0.813688261751512
60,0.1,0.1,10,0.5,0.8345426475585331
60,0.1,0.15000000000000002,10,0.5,0.8350373188546105
60,0.1,0.2,10,0.5,0.8413581243238853
60,0.1,0.25,10,0.5,0.8576477266438348
60,0.1,0.30000000000000004,10,0.5,0.8383514505665989
60,0.1,0.35000000000000003,10,0.5,0.8327634625560018
60,0.1,0.4,10,0.5,0.8336917930441404
60,0.1,0.45,10,0.5,0.8239719436459967
60,0.1,0.5,10,0.5,0.8044489932642829
60,0.15000000000000002,0.0,10,0.5,0.43125478383735677
60,0.15000000000000002,0.05,10,0.5,0.8321699414924191
60,0.15000000000000002,0.1,10,0.5,0.8575809904618275
60,0.15000000000000002,0.15000000000000002,10,0.5,0.857923365942915
60,0.15000000000000002,0.2,10,0.5,0.8223201757526637
60,0.15000000000000002,0.25,10,0.5,0.8225108332753911
60,0.15000000000000002,0.30000000000000004,10,0.5,0.7919478204162427
60,0.15000000000000002,0.35000000000000003,10,0.5,0.7803935094641602
60,0.15000000000000002,0.4,10,0.5,0.7900809640063896
60,0.15000000000000002,0.45,10,0.5,0.7719713620682902
60,0.15000000000000002,0.5,10,0.5,0.7418944161651086
60,0.2,0.0,10,0.5,0.4650661587057896
60,0.2,0.05,10,0.5,0.8616435880491715
60,0.2,0.1,10,0.5,0.8500103413995684
60,0.2,0.15000000000000002,10,0.5,0.818130331073462
60,0.2,0.2,10,0.5,0.792401978283197
60,0.2,0.25,10,0.5,0.7905330025823263
60,0.2,0.30000000000000004,10,0.5,0.7805193188280585
60,0.2,0.35000000000000003,10,0.5,0.7725476804320388
60,0.2,0.4,10,0.5,0.7348917977098149
60,0.2,0.45,10,0.5,0.7394579866859162
60,0.2,0.5,10,0.5,0.7219440006826214
60,0.25,0.0,10,0.5,0.44921622196304134
60,0.25,0.05,10,0.5,0.873294309013989
60,0.25,0.1,10,0.5,0.8474223923047268
60,0.25,0.15000000000000002,10,0.5,0.8123002560326168
60,0.25,0.2,10,0.5,0.7891637067168734
60,0.25,0.25,10,0.5,0.7628955244168912
60,0.25,0.30000000000000004,10,0.5,0.7348117613085492
60,0.25,0.35000000000000003,10,0.5,0.7207639042980244
60,0.25,0.4,10,0.5,0.7130702928365134
60,0.25,0.45,10,0.5,0.709618085518216
60,0.25,0.5,10,0.5,0.698660108176773
60,0.30000000000000004,0.0,10,0.5,0.45119414470306074
60,0.30000000000000004,0.05,10,0.5,0.8655947288638453
60,0.30000000000000004,0.1,10,0.5,0.8216027743391211
60,0.30000000000000004,0.15000000000000002,10,0.5,0.7819706475075416
60,0.30000000000000004,0.2,10,0.5,0.7597111691463698
60,0.30000000000000004,0.25,10,0.5,0.7336453994034937
60,0.30000000000000004,0.30000000000000004,10,0.5,0.7389725110013515
60,0.30000000000000004,0.35000000000000003,10,0.5,0.7166332684622428
60,0.30000000000000004,0.4,10,0.5,0.7167603762747065
60,0.30000000000000004,0.45,10,0.5,0.6786776901740704
60,0.30000000000000004,0.5,10,0.5,0.6757533378675834
60,0.35000000000000003,0.0,10,0.5,0.4169763010922005
60,0.35000000000000003,0.05,10,0.5,0.8690428180195533
60,0.35000000000000003,0.1,10,0.5,0.8500634584417742
60,0.35000000000000003,0.15000000000000002,10,0.5,0.7731487820924859
60,0.35000000000000003,0.2,10,0.5,0.744560355190915
60,0.35000000000000003,0.25,10,0.5,0.722841935223836
60,0.35000000000000003,0.30000000000000004,10,0.5,0.7133613109514461
60,0.35000000000000003,0.35000000000000003,10,0.5,0.693147703359631
60,0.35000000000000003,0.4,10,0.5,0.6810932830169664
60,0.35000000000000003,0.45,10,0.5,0.6756290506382343
