Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
10,0.0,0.0,9,0.4,0.0657638287149247
10,0.0,0.0,9,0.5,0.024572943396472806
10,0.0,0.0,9,0.6,0.02458955686106043
10,0.0,0.0,10,0.4,0.028540382745336306
10,0.0,0.0,10,0.5,0.01835080988917306
10,0.0,0.0,10,0.6,0.03857441596661987
10,0.0,0.0,11,0.4,0.045661933133746294
10,0.0,0.0,11,0.5,0.02875079365079365
10,0.0,0.0,11,0.6,0.012585449735449736
10,0.0,0.05,9,0.4,0.0
10,0.0,0.05,9,0.5,0.0014285714285714286
10,0.0,0.05,9,0.6,0.0
10,0.0,0.05,10,0.4,0.0
10,0.0,0.05,10,0.5,0.0
10,0.0,0.05,10,0.6,0.0
10,0.0,0.05,11,0.4,0.0036363636363636364
10,0.0,0.05,11,0.5,0.0
10,0.0,0.05,11,0.6,0.0
10,0.0,0.1,9,0.4,0.0
10,0.0,0.1,9,0.5,0.0
10,0.0,0.1,9,0.6,0.0
10,0.0,0.1,10,0.4,0.0016666666666666666
10,0.0,0.1,10,0.5,0.0
10,0.0,0.1,10,0.6,0.0
10,0.0,0.1,11,0.4,0.0
10,0.0,0.1,11,0.5,0.0
10,0.0,0.1,11,0.6,0.0
10,0.0,0.15000000000000002,9,0.4,0.0
10,0.0,0.15000000000000002,9,0.5,0.0
10,0.0,0.15000000000000002,9,0.6,0.0
10,0.0,0.15000000000000002,10,0.4,0.0
10,0.0,0.15000000000000002,10,0.5,0.0
10,0.0,0.15000000000000002,10,0.6,0.003076923076923077
10,0.0,0.15000000000000002,11,0.4,0.0
10,0.0,0.15000000000000002,11,0.5,0.0
10,0.0,0.15000000000000002,11,0.6,0.0
10,0.0,0.2,9,0.4,0.0
10,0.0,0.2,9,0.5,0.0
10,0.0,0.2,9,0.6,0.0
10,0.0,0.2,10,0.4,0.0
10,0.0,0.2,10,0.5,0.0
10,0.0,0.2,10,0.6,0.0
10,0.0,0.2,11,0.4,0.002
10,0.0,0.2,11,0.5,0.0
10,0.0,0.2,11,0.6,0.0
10,0.0,0.25,9,0.4,0.0015384615384615385
10,0.0,0.25,9,0.5,0.0
10,0.0,0.25,9,0.6,0.0
10,0.0,0.25,10,0.4,0.0
10,0.0,0.25,10,0.5,0.002
10,0.0,0.25,10,0.6,0.003076923076923077
10,0.0,0.25,11,0.4,0.0
10,0.0,0.25,11,0.5,0.003333333333333333
10,0.0,0.25,11,0.6,0.0
10,0.0,0.30000000000000004,9,0.4,0.0
10,0.0,0.30000000000000004,9,0.5,0.003076923076923077
10,0.0,0.30000000000000004,9,0.6,0.0
10,0.0,0.30000000000000004,10,0.4,0.0
10,0.0,0.30000000000000004,10,0.5,0.0
10,0.0,0.30000000000000004,10,0.6,0.0
10,0.0,0.30000000000000004,11,0.4,0.0
10,0.0,0.30000000000000004,11,0.5,0.005079365079365079
10,0.0,0.30000000000000004,11,0.6,0.0
10,0.0,0.35000000000000003,9,0.4,0.0
10,0.0,0.35000000000000003,9,0.5,0.0
10,0.0,0.35000000000000003,9,0.6,0.002352941176470588
10,0.0,0.35000000000000003,10,0.4,0.0
10,0.0,0.35000000000000003,10,0.5,0.0019047619047619048
10,0.0,0.35000000000000003,10,0.6,0.0
10,0.0,0.35000000000000003,11,0.4,0.0
10,0.0,0.35000000000000003,11,0.5,0.0026666666666666666
10,0.0,0.35000000000000003,11,0.6,0.0
10,0.0,0.4,9,0.4,0.0
10,0.0,0.4,9,0.5,0.0
10,0.0,0.4,9,0.6,0.0016
10,0.0,0.4,10,0.4,0.0
10,0.0,0.4,10,0.5,0.0022222222222222222
10,0.0,0.4,10,0.6,0.0
10,0.0,0.4,11,0.4,0.0018181818181818182
10,0.0,0.4,11,0.5,0.0
10,0.0,0.4,11,0.6,0.0
10,0.0,0.45,9,0.4,0.0
10,0.0,0.45,9,0.5,0.0
10,0.0,0.45,9,0.6,0.0
10,0.0,0.45,10,0.4,0.002857142857142857
10,0.0,0.45,10,0.5,0.0
10,0.0,0.45,10,0.6,0.0
10,0.0,0.45,11,0.4,0.0
10,0.0,0.45,11,0.5,0.0
10,0.0,0.45,11,0.6,0.0
10,0.2,0.0,9,0.4,0.6245788476427859
10,0.2,0.0,9,0.5,0.6020129312744252
10,0.2,0.0,9,0.6,0.6389806896631957
10,0.2,0.0,10,0.4,0.624515552431452
10,0.2,0.0,10,0.5,0.605256420173465
10,0.2,0.0,10,0.6,0.6127030494821613
10,0.2,0.0,11,0.4,0.608675428693891
10,0.2,0.0,11,0.5,0.6009341274981048
10,0.2,0.0,11,0.6,0.6160162284916886
10,0.2,0.05,9,0.4,0.7109992848877098
10,0.2,0.05,9,0.5,0.6944191844272913
10,0.2,0.05,9,0.6,0.674340570153008
10,0.2,0.05,10,0.4,0.7329807111915692
10,0.2,0.05,10,0.5,0.6938918556767204
10,0.2,0.05,10,0.6,0.6707144393148344
10,0.2,0.05,11,0.4,0.7060200463846849
10,0.2,0.05,11,0.5,0.7046363891572581
10,0.2,0.05,11,0.6,0.6669100001274002
10,0.2,0.1,9,0.4,0.7691001106790881
10,0.2,0.1,9,0.5,0.7472032920866246
10,0.2,0.1,9,0.6,0.7056033846977698
10,0.2,0.1,10,0.4,0.7818806169588629
10,0.2,0.1,10,0.5,0.7231207070804492
10,0.2,0.1,10,0.6,0.6973422125295338
10,0.2,0.1,11,0.4,0.7796370668757558
10,0.2,0.1,11,0.5,0.7324743136963214
10,0.2,0.1,11,0.6,0.7048250664098856
10,0.2,0.15000000000000002,9,0.4,0.8124682648397268
10,0.2,0.15000000000000002,9,0.5,0.759333620472844
10,0.2,0.15000000000000002,9,0.6,0.7055866930833894
10,0.2,0.15000000000000002,10,0.4,0.8167407709741786
10,0.2,0.15000000000000002,10,0.5,0.7636502322399258
10,0.2,0.15000000000000002,10,0.6,0.7411130164334
10,0.2,0.15000000000000002,11,0.4,0.8049795562797126
10,0.2,0.15000000000000002,11,0.5,0.7730706393157079
10,0.2,0.15000000000000002,11,0.6,0.7488027882107265
10,0.2,0.2,9,0.4,0.824501763881292
10,0.2,0.2,9,0.5,0.7920486791627636
10,0.2,0.2,9,0.6,0.7601233960711647
10,0.2,0.2,10,0.4,0.8171334471571425
10,0.2,0.2,10,0.5,0.7769044496887915
10,0.2,0.2,10,0.6,0.7552098602292291
10,0.2,0.2,11,0.4,0.8258277728609174
10,0.2,0.2,11,0.5,0.7853831444462712
10,0.2,0.2,11,0.6,0.7541979095942056
10,0.2,0.25,9,0.4,0.8312477287592521
10,0.2,0.25,9,0.5,0.805610231628459
10,0.2,0.25,9,0.6,0.7757074063505793
