Num nodes,alpha,beta,gamma1,gamma2,average f1 over 50 runs
181,0.0,0.0,10,0.5,0.0006711554833217242
181,0.0,0.02,10,0.5,0.022739434482661622
181,0.0,0.04,10,0.5,0.03523341191157005
181,0.0,0.06,10,0.5,0.05615538188816694
181,0.0,0.08,10,0.5,0.051739185612793205
181,0.0,0.1,10,0.5,0.060405800633133444
181,0.0,0.12,10,0.5,0.08219880070884496
181,0.0,0.14,10,0.5,0.07299599106083043
181,0.0,0.16,10,0.5,0.08874248471953129
181,0.0,0.18,10,0.5,0.09173460336223714
181,0.001,0.0,10,0.5,0.16419096874923944
181,0.001,0.02,10,0.5,0.18025190783412146
181,0.001,0.04,10,0.5,0.20766314551891046
181,0.001,0.06,10,0.5,0.21794822340884967
181,0.001,0.08,10,0.5,0.22357209310285658
181,0.001,0.1,10,0.5,0.24330850153902137
181,0.001,0.12,10,0.5,0.23640413335172272
181,0.001,0.14,10,0.5,0.24995746502420313
181,0.001,0.16,10,0.5,0.26159072580563963
181,0.001,0.18,10,0.5,0.2725565158445763
181,0.002,0.0,10,0.5,0.16834905259127766
181,0.002,0.02,10,0.5,0.1892077258081261
181,0.002,0.04,10,0.5,0.2095248153896433
181,0.002,0.06,10,0.5,0.2166682380167747
181,0.002,0.08,10,0.5,0.24025128846325397
181,0.002,0.1,10,0.5,0.2500374196774582
181,0.002,0.12,10,0.5,0.24979138593273995
181,0.002,0.14,10,0.5,0.25811848446000035
181,0.002,0.16,10,0.5,0.2690933649684506
181,0.002,0.18,10,0.5,0.2797994567409974
181,0.003,0.0,10,0.5,0.16939226900113824
181,0.003,0.02,10,0.5,0.19678633710861823
181,0.003,0.04,10,0.5,0.22536155603424704
181,0.003,0.06,10,0.5,0.2396691670112034
181,0.003,0.08,10,0.5,0.2340871017483529
181,0.003,0.1,10,0.5,0.23904977089461293
181,0.003,0.12,10,0.5,0.26194057776659435
181,0.003,0.14,10,0.5,0.2659344174686475
181,0.003,0.16,10,0.5,0.26976065549146894
181,0.003,0.18,10,0.5,0.27203177467949585
181,0.004,0.0,10,0.5,0.16171656343195098
181,0.004,0.02,10,0.5,0.21747326990579383
181,0.004,0.04,10,0.5,0.23169654336597773
181,0.004,0.06,10,0.5,0.2332070070294293
181,0.004,0.08,10,0.5,0.24201145794232154
181,0.004,0.1,10,0.5,0.2587897649324917
181,0.004,0.12,10,0.5,0.2578066855603032
181,0.004,0.14,10,0.5,0.27420088637579326
181,0.004,0.16,10,0.5,0.27863038578751254
181,0.004,0.18,10,0.5,0.30108580012356834
181,0.005,0.0,10,0.5,0.16406653639994617
181,0.005,0.02,10,0.5,0.20624237578561921
181,0.005,0.04,10,0.5,0.2230212619779251
181,0.005,0.06,10,0.5,0.23187438543482192
181,0.005,0.08,10,0.5,0.25127526383887505
181,0.005,0.1,10,0.5,0.2544509188217676
181,0.005,0.12,10,0.5,0.27537022724902327
181,0.005,0.14,10,0.5,0.2679684080950461
181,0.005,0.16,10,0.5,0.2859000777409229
181,0.005,0.18,10,0.5,0.28550234827639104
Optimal vals below
181,0.004,0.18,10,0.5,0.30108580012356834
